th ;kd_prd;kd_fk;kd_ptn ;dt ;jp;pg ;;;
2013;3341031;NULL;334;30;1302;33;;;
2014;3341031;NULL;334;30;1331;34;;;
2015;3341031;NULL;334;30;1094;33,2;;;
2016;3341031;NULL;334;35;1120;33,7;;;
2017;3341031;NULL;334;32;1047;32;;;
2013;3341046;NULL;334;30;1014;32;;;
2014;3341046;NULL;334;30;772;31;;;
2015;3341046;NULL;334;30;770;32,2;;;
2016;3341046;NULL;334;32;662;31,5;;;
2017;3341046;NULL;334;32;704;32;;;
2013;3341054;NULL;334;30;712;34;;;
2014;3341054;NULL;334;30;601;34,4;;;
2015;3341054;NULL;334;15;523;33;;;
2016;3341054;NULL;334;18;393;33,5;;;
2017;3341054;NULL;334;18;467;34,2;;;
2013;3341062;NULL;334;15;496;37;;;
2014;3341062;NULL;334;15;555;37,3;;;
2015;3341062;NULL;334;15;511;37,8;;;
2016;3341062;NULL;334;18;528;38;;;
2017;3341062;NULL;334;18;612;39;;;
2013;3341077;NULL;334;15;310;37;;;
2014;3341077;NULL;334;15;318;37,2;;;
2015;3341077;NULL;334;15;318;37,08;;;
2016;3341077;NULL;334;16;244;35;;;
2017;3341077;NULL;334;14;260;33,4;;;
2013;3341085;NULL;334;15;847;29;;;
2014;3341085;NULL;334;15;984;30;;;
2015;3341085;NULL;334;15;888;31,2;;;
2016;3341085;NULL;334;13;681;30;;;
2017;3341085;NULL;334;14;853;30,2;;;
2013;3341093;NULL;334;15;699;36,1;;;
2014;3341093;NULL;334;15;562;37;;;
2015;3341093;NULL;334;24;669;37,2;;;
2016;3341093;NULL;334;25;611;37,08;;;
2017;3341093;NULL;334;28;695;37,3;;;
2013;3341104;NULL;334;30;1520;43,2;;;
2014;3341104;NULL;334;30;1564;43,3;;;
2015;3341104;NULL;334;15;1392;42;;;
2016;3341104;NULL;334;18;1220;40;;;
2017;3341104;NULL;334;18;1439;41,3;;;
2013;3341112;NULL;334;18;301;35;;;
2014;3341112;NULL;334;18;315;35,3;;;
2015;3341112;NULL;334;18;350;36;;;
2016;3341112;NULL;334;19;373;36,2;;;
2017;3341112;NULL;334;25;425;36,5;;;
2013;3341127;NULL;334;15;188;33;;;
2014;3341127;NULL;334;18;234;33,4;;;
2015;3341127;NULL;334;25;298;34;;;
2016;3341127;NULL;334;29;284;34,2;;;
2017;3341127;NULL;334;36;336;34,5;;;
2013;3341143;NULL;334;30;364;36;;;
2014;3341143;NULL;334;18;282;37,2;;;
2015;3341143;NULL;334;30;399;37,4;;;
2016;3341143;NULL;334;34;298;35,9;;;
2017;3341143;NULL;334;36;360;36,5;;;
2013;3341151;NULL;334;30;561;35;;;
2014;3341151;NULL;334;28;592;36,65;;;
2015;3341151;NULL;334;30;653;36,6;;;
2016;3341151;NULL;334;51;628;36,7;;;
2017;3341151;NULL;334;50;592;37,2;;;
2013;3341166;NULL;334;30;228;35,4;;;
2014;3341166;NULL;334;30;405;36,14;;;
2015;3341166;NULL;334;50;405;36,14;;;
2016;3341166;NULL;334;52;405;36,14;;;
2017;3341166;NULL;334;67;405;37;;;
2013;3341174;NULL;334;15;680;31;;;
2014;3341174;NULL;334;18;896;31,2;;;
2015;3341174;NULL;334;18;967;32;;;
2016;3341174;NULL;334;19;937;31,6;;;
2017;3341174;NULL;334;34;1057;32,5;;;
2013;3341182;NULL;334;18;581;35;;;
