th ;kd_prd;kd_fk;kd_ptn ;dt ;jp;pg ;;;
2015;3821105;NULL;382;42;1225;37,83;;;
2016;3821105;NULL;382;60;1621;37,83;;;
2017;3821105;NULL;382;80;1833;41;;;
2013;3821113;NULL;382;45;1303;43;;;
2014;3821113;NULL;382;45;1464;44,65;;;
2015;3821113;NULL;382;42;1235;44;;;
2016;3821113;NULL;382;39;1161;44,65;;;
2017;3821113;NULL;382;52;1019;45;;;
2013;3821121;NULL;382;45;1368;46;;;
2014;3821121;NULL;382;45;1685;47;;;
2015;3821121;NULL;382;45;1653;47,4;;;
2016;3821121;NULL;382;45;1877;47,75;;;
2017;3821121;NULL;382;60;2246;46;;;
2013;3821136;NULL;382;30;1123;48;;;
2014;3821136;NULL;382;30;1 167;49;;;
2015;3821136;NULL;382;30;1135;47;;;
2016;3821136;NULL;382;31;1314;48;;;
2017;3821136;NULL;382;40;1623;49,5;;;
2013;3821144;NULL;382;36;1053;46;;;
2014;3821144;NULL;382;33;1023;45,5;;;
2015;3821144;NULL;382;33;904;45,6;;;
2016;3821144;NULL;382;35;997;45,5;;;
2017;3821144;NULL;382;44;1124;33;;;
2013;3821152;NULL;382;30;457;36;;;
2014;3821152;NULL;382;30;730;37;;;
2015;3821152;NULL;382;30;611;38;;;
2016;3821152;NULL;382;33;510;37;;;
2017;3821152;NULL;382;44;748;38;;;
2013;3821167;NULL;382;24;778;39;;;
2014;3821167;NULL;382;30;1009;40,48;;;
2015;3821167;NULL;382;30;810;41;;;
2016;3821167;NULL;382;30;1140;41,3;;;
2017;3821167;NULL;382;44;1174;35;;;
2013;3821175;NULL;382;27;687;36;;;
2014;3821175;NULL;382;27;946;35,04;;;
2015;3821175;NULL;382;27;954;34,00;;;
2016;3821175;NULL;382;27;967;35,81;;;
2017;3821175;NULL;382;36;1022;32;;;
2013;3821183;NULL;382;43;786;43;;;
2014;3821183;NULL;382;45;926;44;;;
2015;3821183;NULL;382;45;1222;43;;;
2016;3821183;NULL;382;40;715;44;;;
2017;3821183;NULL;382;48;1046;31;;;
2013;3821191;NULL;382;36;783;38;;;
2014;3821191;NULL;382;36;1 .023;39;;;
2015;3821191;NULL;382;24;827;40;;;
2016;3821191;NULL;382;37;984;41,47;;;
2017;3821191;NULL;382;36;933;31,7;;;
2013;3821202;NULL;382;58;1865;45;;;
2014;3821202;NULL;382;60;60;46;;;
2015;3821202;NULL;382;54;1721;44;;;
2016;3821202;NULL;382;54;2079;45;;;
2017;3821202;NULL;382;84;2537;46;;;
2013;3821217;NULL;382;60;1109;42;;;
2014;3821217;NULL;382;60;1241;42,1;;;
2015;3821217;NULL;382;45;918;42,5;;;
2016;3821217;NULL;382;48;1281;42,57;;;
2017;3821217;NULL;382;60;1626;43;;;
2013;3821233;NULL;382;14;327;43;;;
2014;3821233;NULL;382;15;330;44,1;;;
2015;3821233;NULL;382;15;376;43;;;
2016;3821233;NULL;382;17;427;44;;;
2017;3821233;NULL;382;20;449;29,7;;;
2013;3821241;NULL;382;15;310;40;;;
2014;3821241;NULL;382;15;393;41,5;;;
2015;3821241;NULL;382;15;366;42;;;
2016;3821241;NULL;382;16;344;41,47;;;
2017;3821241;NULL;382;16;380;42;;;
