th,kd_prd,kd_fk,kd_ptn,dt ,JP,pg 
2017,3331125,NULL,333,90,2587,41.2
2013,3331133,NULL,333,40,973,30
2014,3331133,NULL,333,21,969,31.5
2015,3331133,NULL,333,39,1181,32.5
2016,3331133,NULL,333,50,1275,32
2017,3331133,NULL,333,48,1510,33
2013,3331141,NULL,333,47,2256,37
2014,3331141,NULL,333,36,2259,38.5
2015,3331141,NULL,333,66,2216,37.5
2016,3331141,NULL,333,63,2149,37.4
2017,3331141,NULL,333,75,2521,38.5
2013,3331156,NULL,333,45,1228,32
2014,3331156,NULL,333,36,1158,33
2015,3331156,NULL,333,66,1182,33.5
2016,3331156,NULL,333,63,1168,34
2017,3331156,NULL,333,75,1198,34.5
2013,3331164,NULL,333,41,2698,42
2014,3331164,NULL,333,57,2811,43
2015,3331164,NULL,333,85,2783,42.5
2016,3331164,NULL,333,80,3221,43
2017,3331164,NULL,333,96,3597,44
2013,3331172,NULL,333,64,3200,36.2
2014,3331172,NULL,333,53,3407,38.2
2015,3331172,NULL,333,87,2832,37
2016,3331172,NULL,333,88,2148,36
2017,3331172,NULL,333,96,1929,35.5
2013,3331187,NULL,333,64,2598,39
2014,3331187,NULL,333,48,2819,40.5
2015,3331187,NULL,333,80,2660,39.7
2016,3331187,NULL,333,80,3068,41
2017,3331187,NULL,333,96,3475,41.5
2013,3331195,NULL,333,18,687,22
2014,3331195,NULL,333,14,1074,24
2015,3331195,NULL,333,27,679,24
2016,3331195,NULL,333,30,848,25
2017,3331195,NULL,333,36,769,24.5
2013,3331206,NULL,333,24,2630,40
2014,3331206,NULL,333,24,3317,41
2015,3331206,NULL,333,40,2925,39.5
2016,3331206,NULL,333,38,3328,41.5
2017,3331206,NULL,333,42,3773,42.5
